id	family	kind	rel_path	stage	risk	overlap_count	route	source_patch	effective_patch	override_used
1457	wined3d-zero-inf-shaders	tkg-patches	wined3d-zero-inf-shaders/0001-wined3d-Add-a-setting-to-workaround-0-inf-problem-in.patch	2	medium	3	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-zero-inf-shaders/0001-wined3d-Add-a-setting-to-workaround-0-inf-problem-in.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-zero-inf-shaders/0001-wined3d-Add-a-setting-to-workaround-0-inf-problem-in.patch	no
1459	winedevice-Default_Drivers	tkg-patches	winedevice-Default_Drivers/0001-win32k.sys-Add-stub-driver.patch	3	medium	2	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winedevice-Default_Drivers/0001-win32k.sys-Add-stub-driver.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winedevice-Default_Drivers/0001-win32k.sys-Add-stub-driver.patch	no
1462	winedevice-Default_Drivers	tkg-patches	winedevice-Default_Drivers/0004-programs-winedevice-Load-some-common-drivers-and-fix.patch	3	medium	2	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winedevice-Default_Drivers/0004-programs-winedevice-Load-some-common-drivers-and-fix.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winedevice-Default_Drivers/0004-programs-winedevice-Load-some-common-drivers-and-fix.patch	no
1463	winemac.drv-no-flicker-patch	tkg-patches	winemac.drv-no-flicker-patch/0001-winemac.drv-No-Flicker-patch.patch	3	medium	3	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winemac.drv-no-flicker-patch/0001-winemac.drv-No-Flicker-patch.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winemac.drv-no-flicker-patch/0001-winemac.drv-No-Flicker-patch.patch	no
1464	wineps.drv-PostScript_Fixes	tkg-patches	wineps.drv-PostScript_Fixes/0004-wineps.drv-Add-support-for-GETFACENAME-and-DOWNLOADF.patch	3	medium	2	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wineps.drv-PostScript_Fixes/0004-wineps.drv-Add-support-for-GETFACENAME-and-DOWNLOADF.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wineps.drv-PostScript_Fixes/0004-wineps.drv-Add-support-for-GETFACENAME-and-DOWNLOADF.patch	no
1467	winex11-Fixed-scancodes	tkg-patches	winex11-Fixed-scancodes/0001-winecfg-Move-input-config-options-to-a-dedicated-tab.patch	1	medium	4	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0001-winecfg-Move-input-config-options-to-a-dedicated-tab.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0001-winecfg-Move-input-config-options-to-a-dedicated-tab.patch	no
1469	winex11-Fixed-scancodes	tkg-patches	winex11-Fixed-scancodes/0003-winex11-Write-supported-keyboard-layout-list-in-regi.patch	1	high	3	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0003-winex11-Write-supported-keyboard-layout-list-in-regi.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0003-winex11-Write-supported-keyboard-layout-list-in-regi.patch	no
1470	winex11-Fixed-scancodes	tkg-patches	winex11-Fixed-scancodes/0004-winecfg-Add-a-keyboard-layout-selection-config-optio.patch	1	medium	2	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0004-winecfg-Add-a-keyboard-layout-selection-config-optio.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0004-winecfg-Add-a-keyboard-layout-selection-config-optio.patch	no
1471	winex11-Fixed-scancodes	tkg-patches	winex11-Fixed-scancodes/0005-winex11-Use-the-user-configured-keyboard-layout-if-a.patch	1	high	3	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0005-winex11-Use-the-user-configured-keyboard-layout-if-a.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0005-winex11-Use-the-user-configured-keyboard-layout-if-a.patch	no
1472	winex11-Fixed-scancodes	tkg-patches	winex11-Fixed-scancodes/0006-winecfg-Add-a-keyboard-scancode-detection-toggle-opt.patch	1	medium	2	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0006-winecfg-Add-a-keyboard-scancode-detection-toggle-opt.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0006-winecfg-Add-a-keyboard-scancode-detection-toggle-opt.patch	no
1474	winex11-Fixed-scancodes	tkg-patches	winex11-Fixed-scancodes/0008-winex11-Support-fixed-X11-keycode-to-scancode-conver.patch	1	high	3	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0008-winex11-Support-fixed-X11-keycode-to-scancode-conver.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0008-winex11-Support-fixed-X11-keycode-to-scancode-conver.patch	no
1476	winex11-WM_WINDOWPOSCHANGING	tkg-patches	winex11-WM_WINDOWPOSCHANGING/0001-winex11.drv-Send-WM_WINDOWPOSCHANGING-WM_WINDOWPOSCH.patch	1	high	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-WM_WINDOWPOSCHANGING/0001-winex11.drv-Send-WM_WINDOWPOSCHANGING-WM_WINDOWPOSCH.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-WM_WINDOWPOSCHANGING/0001-winex11.drv-Send-WM_WINDOWPOSCHANGING-WM_WINDOWPOSCH.patch	no
1477	winex11-Window_Style	tkg-patches	winex11-Window_Style/0001-winex11-Fix-handling-of-window-attributes-for-WS_EX_.patch	1	high	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Window_Style/0001-winex11-Fix-handling-of-window-attributes-for-WS_EX_.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Window_Style/0001-winex11-Fix-handling-of-window-attributes-for-WS_EX_.patch	no
1478	winex11-ime-check-thread-data	tkg-patches	winex11-ime-check-thread-data/0001-winex11.drv-handle-missing-thread-data-in-X11DRV_get_ic.patch	1	high	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-ime-check-thread-data/0001-winex11.drv-handle-missing-thread-data-in-X11DRV_get_ic.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-ime-check-thread-data/0001-winex11.drv-handle-missing-thread-data-in-X11DRV_get_ic.patch	no
1482	wininet-Cleanup	tkg-patches	wininet-Cleanup/0004-wininet-Strip-filename-if-no-path-is-set-in-cookie.patch	3	medium	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wininet-Cleanup/0004-wininet-Strip-filename-if-no-path-is-set-in-cookie.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wininet-Cleanup/0004-wininet-Strip-filename-if-no-path-is-set-in-cookie.patch	no
1486	winmm-mciSendCommandA	tkg-patches	winmm-mciSendCommandA/0001-winmm-Do-not-crash-in-Win-9X-mode-when-an-invalid-de.patch	3	medium	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winmm-mciSendCommandA/0001-winmm-Do-not-crash-in-Win-9X-mode-when-an-invalid-de.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winmm-mciSendCommandA/0001-winmm-Do-not-crash-in-Win-9X-mode-when-an-invalid-de.patch	no
1487	wintab32-improvements	tkg-patches	wintab32-improvements/0002-wintab32-Set-lcSysExtX-Y-for-the-first-index-of-WTI_.patch	3	medium	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wintab32-improvements/0002-wintab32-Set-lcSysExtX-Y-for-the-first-index-of-WTI_.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wintab32-improvements/0002-wintab32-Set-lcSysExtX-Y-for-the-first-index-of-WTI_.patch	no
